config_name,batch_size,linger_ms,compression,run_number,throughput,avg_latency,p95_latency,p99_latency,cpu_percent,memory_percent,status
config_000,16384,0,none,1,1000.2,2.6,0,0,1.96,12.54,SUCCESS
config_000,16384,0,none,2,1000.2,2.9,0,0,1.89,12.55,SUCCESS
config_000,16384,0,none,3,1000.0,2.2,0,0,1.71,12.57,SUCCESS
config_001,16384,0,lz4,1,1000.0,2.6,0,0,2.71,12.58,SUCCESS
config_001,16384,0,lz4,2,1000.0,2.4,0,0,1.59,12.59,SUCCESS
config_001,16384,0,lz4,3,1000.2,2.9,0,0,1.98,12.6,SUCCESS
config_010,16384,10,none,1,998.2,8.0,0,0,2.34,12.62,SUCCESS
config_010,16384,10,none,2,998.2,7.9,0,0,2.2,12.62,SUCCESS
config_010,16384,10,none,3,998.0,7.8,0,0,2.61,12.63,SUCCESS
config_011,16384,10,lz4,1,998.0,8.1,0,0,2.03,12.63,SUCCESS
config_011,16384,10,lz4,2,998.2,8.2,0,0,1.83,12.63,SUCCESS
config_011,16384,10,lz4,3,997.8,8.0,0,0,1.98,12.64,SUCCESS
config_100,65536,0,none,1,1000.2,2.0,0,0,2.01,12.64,SUCCESS
config_100,65536,0,none,2,1000.0,2.0,0,0,1.87,12.66,SUCCESS
config_100,65536,0,none,3,1000.0,2.0,0,0,2.14,12.65,SUCCESS
config_101,65536,0,lz4,1,1000.0,1.9,0,0,1.98,12.67,SUCCESS
config_101,65536,0,lz4,2,1000.0,2.2,0,0,1.97,12.68,SUCCESS
config_101,65536,0,lz4,3,1000.0,2.3,0,0,2.1,12.7,SUCCESS
config_110,65536,10,none,1,997.8,7.8,0,0,2.06,12.71,SUCCESS
config_110,65536,10,none,2,997.8,7.8,0,0,2.69,12.71,SUCCESS
config_110,65536,10,none,3,997.8,7.5,0,0,1.99,12.72,SUCCESS
config_111,65536,10,lz4,1,998.0,7.6,0,0,2.07,12.72,SUCCESS
config_111,65536,10,lz4,2,998.2,8.1,0,0,2.7,12.73,SUCCESS
config_111,65536,10,lz4,3,997.8,7.8,0,0,2.08,12.73,SUCCESS
